sid,file_name
64,PHIP2_2_poses.tar_ajlVvr5.gz
65,PHIP2_YU.tar.gz
66,PHIP2_YU2.tar.gz
67,PHIP2_2_ranDock46.tar.gz
68,PHIP2_2_averageKdeepBindscope.tar.gz
69,PHIP2_2_bindscope.tar.gz
70,PHIP2_2_jackpot.tar.gz
71,PHIP2_2_kdeep.tar.gz
72,PHIP2_2_rDock46.tar.gz
73,PHIP2_2_ske_ske.tar.gz
74,PHIP2_2_ske_rdock.tar.gz
75,PHIP2_2_rDeep46.tar.gz
76,PHIP2_2_IFP_IE46.tar.gz
77,PHIP2_mms.tar.gz
78,PHIP2_2_cryptoscout.tar.gz
79,PHIP2_2_poses_souyakuchan.tar.gz
80,PHIP2_stage2_submission_Iorga_pose_prediction_1.tar.gz
