,method_name,file name,category,Molecule ID,pKa (calc),pKa SEM (calc),pKa model uncertainty
0,pKa_experimental,pKa_experimental_values,experimental,SM25,4.49,0.04,0.0
1,pKa_experimental,pKa_experimental_values,experimental,SM26,4.91,0.01,0.0
2,pKa_experimental,pKa_experimental_values,experimental,SM27,10.45,0.01,0.0
3,pKa_experimental,pKa_experimental_values,experimental,SM29,10.05,0.01,0.0
4,pKa_experimental,pKa_experimental_values,experimental,SM30,10.29,0.12,0.0
5,pKa_experimental,pKa_experimental_values,experimental,SM31,11.02,0.01,0.0
6,pKa_experimental,pKa_experimental_values,experimental,SM32,10.45,0.02,0.0
7,pKa_experimental,pKa_experimental_values,experimental,SM34,11.93,0.05,0.0
8,pKa_experimental,pKa_experimental_values,experimental,SM35,9.87,0.01,0.0
9,pKa_experimental,pKa_experimental_values,experimental,SM36,9.8,0.06,0.0
10,pKa_experimental,pKa_experimental_values,experimental,SM37,10.33,0.02,0.0
11,pKa_experimental,pKa_experimental_values,experimental,SM38,9.44,0.02,0.0
12,pKa_experimental,pKa_experimental_values,experimental,SM39,10.22,0.15,0.0
13,pKa_experimental,pKa_experimental_values,experimental,SM40,9.58,0.01,0.0
14,pKa_experimental,pKa_experimental_values,experimental,SM41,5.22,0.01,0.0
15,pKa_experimental,pKa_experimental_values,experimental,SM42,6.62,0.02,0.0
16,pKa_experimental,pKa_experimental_values,experimental,SM43,5.62,0.02,0.0
17,pKa_experimental,pKa_experimental_values,experimental,SM44,6.34,0.01,0.0
18,pKa_experimental,pKa_experimental_values,experimental,SM45,5.93,0.05,0.0
19,pKa_experimental,pKa_experimental_values,experimental,SM46,6.42,0.01,0.0
