Predictions:
SM25,SM25,-18.33,0.0,2.1562024272328912
SM26,SM26,-0.42,0.0,1.47
SM27,SM27,0.01,0.0,1.4700000000432958
SM28,SM28,-0.79,0.0,1.47
SM29,SM29,-0.76,0.0,1.4700000019788169
SM30,SM30,1.17,0.0,1.470000786180085
SM31,SM31,-0.13,0.0,1.4700000037704035
SM32,SM32,0.86,0.0,1.4700000003770786
SM33,SM33,2.61,0.0,1.47
SM34,SM34,0.92,0.0,1.4700000002072229
SM35,SM35,-0.79,0.0,1.4700000040648111
SM36,SM36,-0.18,0.0,1.470364134111271
SM37,SM37,-1.11,0.0,1.4855093562606103
SM38,SM38,-2.75,0.0,1.470000000075239
SM39,SM39,-1.22,0.0,1.4720316802734248
SM40,SM40,-2.18,0.0,1.4704507142861698
SM41,SM41,-2.25,0.0,2.073783637412573
SM42,SM42,-1.16,0.0,2.1392457493186248
SM43,SM43,-2.93,0.0,2.127134816087262
SM44,SM44,-3.08,0.0,2.00277016768521
SM45,SM45,-1.52,0.0,1.8876243061912719
SM46,SM46,-2.26,0.0,1.7097387894188616

Name:
TFE-SMD-solvent-opt + DFT_M06-2X_SMD_explicit_water
Category:
QM logP + QM pKa
Ranked:
True
