Predictions:
SM25,SM25,-1.37,0.03990175982820839,0.0
SM26,SM26,-2.38,0.03974237622905219,0.0
SM27,SM27,0.47,3.171656935122753e-08,0.0
SM28,SM28,-0.23,0.0,0.0
SM29,SM29,0.18,1.9958028397883465e-07,0.0
SM30,SM30,1.73,6.621276927099838e-08,0.0
SM31,SM31,0.94,2.3006558391672453e-09,0.0
SM32,SM32,1.5,3.171656935122753e-08,0.0
SM33,SM33,3.12,0.0,0.0
SM34,SM34,2.18,3.4836487372642844e-11,0.0
SM35,SM35,-0.6900000000000001,4.5616483535177537e-07,0.0
SM36,SM36,0.58,6.28939601658209e-07,0.0
SM37,SM37,0.78,5.5085854073942854e-08,0.0
SM38,SM38,-1.6,3.2671890940976683e-06,0.0
SM39,SM39,0.47,9.135794513077607e-08,0.0
SM40,SM40,-0.71,1.7232177344455449e-06,0.0
SM41,SM41,-2.79,0.039476637665170594,0.0
SM42,SM42,0.21,0.029423454719712593,0.0
SM43,SM43,-1.7,0.038704664752537137,0.0
SM44,SM44,-2.63,0.03384729051326709,0.0
SM45,SM45,-1.74,0.03742105380207609,0.0
SM46,SM46,-1.8,0.0327763943395595,0.0

Name:
TFE-NHLBI-TZVP-QM + pKa_experimental
Category:
Physical (QM) + experimental
Ranked:
True
