Predictions:
SM25,SM25,-2.51,0.01,0.8999880195383227
SM26,SM26,-4.16,0.01,0.8999886092463868
SM27,SM27,-1.39,0.11,0.8979742881675223
SM28,SM28,1.18,0.08,0.0
SM29,SM29,-1.18,0.03,0.8970721226093223
SM30,SM30,-0.37,0.19,0.8986675007101423
SM31,SM31,-1.07,0.14,0.8983151936120535
SM32,SM32,-0.65,0.17,0.8985510374024199
SM33,SM33,2.96,0.21,0.0
SM34,SM34,-0.4,0.2,0.8989283886977106
SM35,SM35,-3.09,0.02,0.8998090835365871
SM36,SM36,-2.95,0.05,0.8996487834896427
SM37,SM37,-2.41,0.1,0.8997498106923096
SM38,SM38,-2.57,0.07,0.899544330547242
SM39,SM39,-1.77,0.13,0.8996081726798318
SM40,SM40,-1.94,0.05,0.8996953304337554
SM41,SM41,-5.24,0.02,0.8999972682711228
SM42,SM42,-4.09,0.03,0.8999974788075811
SM43,SM43,-4.66,0.01,0.8999943994130649
SM44,SM44,-3.14,0.03,0.8999104647733166
SM45,SM45,-1.65,0.04,0.899886760987729
SM46,SM46,-2.77,0.01,0.8999411369110885

Name:
logP_experimental + Gaussian_corrected
Category:
experimental + QM+LEC
Ranked:
True
